Date,VWAP
12/13/21 01:30,01:30:00
12/13/21 01:31,01:31:00
12/13/21 01:32,01:32:00
12/13/21 01:33,01:33:00
12/13/21 01:34,01:34:00
12/13/21 01:35,01:35:00
12/13/21 01:36,01:36:00
12/13/21 01:37,01:37:00
12/13/21 01:38,01:38:00
12/13/21 01:39,01:39:00
12/13/21 01:40,01:40:00
12/13/21 01:41,01:41:00
12/13/21 01:42,01:42:00
12/13/21 01:43,01:43:00
12/13/21 01:44,01:44:00
12/13/21 01:45,01:45:00
12/13/21 01:46,01:46:00
12/13/21 01:47,01:47:00
12/13/21 01:48,01:48:00
12/13/21 01:49,01:49:00
12/13/21 01:50,01:50:00
12/13/21 01:51,01:51:00
12/13/21 01:52,01:52:00
12/13/21 01:53,01:53:00
12/13/21 01:54,01:54:00
12/13/21 01:55,01:55:00
12/13/21 01:56,01:56:00
12/13/21 01:57,01:57:00
12/13/21 01:58,01:58:00
12/13/21 01:59,01:59:00
12/13/21 02:00,02:00:00
12/13/21 02:01,02:01:00
12/13/21 02:02,02:02:00
12/13/21 02:03,02:03:00
12/13/21 02:04,02:04:00
12/13/21 02:05,02:05:00
12/13/21 02:06,02:06:00
12/13/21 02:07,02:07:00
12/13/21 02:08,02:08:00
12/13/21 02:09,02:09:00
12/13/21 02:10,02:10:00
12/13/21 02:11,02:11:00
12/13/21 02:12,02:12:00
12/13/21 02:13,02:13:00
12/13/21 02:14,02:14:00
12/13/21 02:15,02:15:00
12/13/21 02:16,02:16:00
12/13/21 02:17,02:17:00
12/13/21 02:18,02:18:00
12/13/21 02:19,02:19:00
12/13/21 02:20,02:20:00
12/13/21 02:21,02:21:00
12/13/21 02:22,02:22:00
12/13/21 02:23,02:23:00
12/13/21 02:24,02:24:00
12/13/21 02:25,02:25:00
12/13/21 02:26,02:26:00
12/13/21 02:27,02:27:00
12/13/21 02:28,02:28:00
12/13/21 02:29,02:29:00
12/13/21 02:30,02:30:00
12/13/21 02:31,02:31:00
12/13/21 02:32,02:32:00
12/13/21 02:33,02:33:00
12/13/21 02:34,02:34:00
12/13/21 02:35,02:35:00
12/13/21 02:36,02:36:00
12/13/21 02:37,02:37:00
12/13/21 02:38,02:38:00
12/13/21 02:39,02:39:00
12/13/21 02:40,02:40:00
12/13/21 02:41,02:41:00
12/13/21 02:42,02:42:00
12/13/21 02:43,02:43:00
12/13/21 02:44,02:44:00
12/13/21 02:45,02:45:00
12/13/21 02:46,02:46:00
12/13/21 02:47,02:47:00
12/13/21 02:48,02:48:00
12/13/21 02:49,02:49:00
